# What each file asks OpenCV for (P7-T01)

Generated by the inventory pass of P7-T01, from `git grep -ln "opencv2/"`
over `library/`, `tools/`, `plugins/` and `python/`. The areas are
`lite-removals.md` section 2's. `plugins/` is in scope even though the plan's
task text names only `library/` and `tools/`: phase 2 has not moved those
directories yet, so most of what phase 7 describes still lives there.

`plugins/pytorch/learn` is excluded -- the python packages vendored there
carry their own OpenCV and become wheels in phase 9.

## Files per area

| Area | Files |
Includes: `opencv2/calib3d/calib3d.hpp`, `opencv2/features2d.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::CALIB_CB_ADAPTIVE_THRESH`, `cv::CALIB_FIX_ASPECT_RATIO`, `cv::CALIB_FIX_INTRINSIC`, `cv::CALIB_FIX_K1`, `cv::CALIB_FIX_K2`, `cv::CALIB_FIX_K3`, `cv::CALIB_FIX_PRINCIPAL_POINT`, `cv::CALIB_ZERO_DISPARITY`, `cv::CALIB_ZERO_TANGENT_DIST`, `cv::COLOR_BGR2GRAY`, `cv::COLOR_BGRA2GRAY`, `cv::COLOR_BayerBG2GRAY`, `cv::FileStorage`, `cv::KeyPoint`, `cv::SimpleBlobDetector`, `cv::TermCriteria`, `cv::bitwise_not`, `cv::calibrateCamera`, `cv::cornerSubPix`, `cv::cvtColor`, `cv::findChessboardCorners`, `cv::minMaxLoc`, `cv::norm`, `cv::resize`, `cv::split`, `cv::stereoCalibrate`, `cv::stereoRectify`

### `plugins/opencv/calibrate_stereo_cameras.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/canny_edge_detector.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc.hpp`

Uses: `cv::Canny`, `cv::blur`, `cv::filter2D`, `cv::magnitude`, `cv::phase`

### `plugins/opencv/canny_edge_detector.h`

Areas: 2.1 bridge

Includes: `opencv2/core.hpp`

Uses: bridge types only

### `plugins/opencv/classify_fish_hierarchical_svm.h`

Areas: 2.1 bridge, 2.6 ml/features/seg

Includes: `opencv2/core/core.hpp`, `opencv2/features2d/features2d.hpp`, `opencv2/highgui/highgui.hpp`, `opencv2/imgproc/imgproc.hpp`, `opencv2/ml/ml.hpp`, `opencv2/objdetect/objdetect.hpp`, `opencv2/video/video.hpp`

Uses: `cv::ml`

### `plugins/opencv/compute_stereo_disparity.cxx`

Areas: 2.1 bridge, 2.3 imgproc, 2.4 calib3d

Includes: `opencv2/calib3d/calib3d.hpp`, `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`, `opencv2/ximgproc.hpp`

Uses: `cv::BORDER_CONSTANT`, `cv::COLOR_BGR2BGRA`, `cv::INTER_LINEAR`, `cv::INTER_NEAREST`, `cv::StereoBM`, `cv::StereoSGBM`, `cv::cvtColor`, `cv::divide`, `cv::initUndistortRectifyMap`, `cv::merge`, `cv::remap`, `cv::split`, `cv::undistortPoints`, `cv::ximgproc`

### `plugins/opencv/compute_stereo_disparity.h`

Areas: 2.1 bridge, 2.4 calib3d

Includes: `opencv2/calib3d/calib3d.hpp`, `opencv2/core/core.hpp`, `opencv2/ximgproc.hpp`

Uses: `cv::StereoMatcher`, `cv::ximgproc`

### `plugins/opencv/convert_color_space.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::COLOR_BGR2HLS`, `cv::COLOR_BGR2HSV`, `cv::COLOR_BGR2Lab`, `cv::COLOR_BGR2Luv`, `cv::COLOR_BGR2XYZ`, `cv::COLOR_BGR2YCrCb`, `cv::COLOR_HLS2BGR`, `cv::COLOR_HLS2RGB`, `cv::COLOR_HSV2BGR`, `cv::COLOR_HSV2RGB`, `cv::COLOR_Lab2BGR`, `cv::COLOR_Lab2RGB`, `cv::COLOR_Luv2BGR`, `cv::COLOR_Luv2RGB`, `cv::COLOR_RGB2HLS`, `cv::COLOR_RGB2HSV`, `cv::COLOR_RGB2Lab`, `cv::COLOR_RGB2Luv`, `cv::COLOR_RGB2XYZ`, `cv::COLOR_RGB2YCrCb`, `cv::COLOR_XYZ2BGR`, `cv::COLOR_XYZ2RGB`, `cv::COLOR_YCrCb2BGR`, `cv::COLOR_YCrCb2RGB`, `cv::cvtColor`

### `plugins/opencv/debayer_filter.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc/imgproc.hpp`

Uses: `cv::COLOR_BayerBG2BGR`, `cv::COLOR_BayerGB2BGR`, `cv::COLOR_BayerGR2BGR`, `cv::COLOR_BayerRG2BGR`, `cv::NORM_MINMAX`, `cv::cvtColor`, `cv::normalize`

### `plugins/opencv/detect_calibration_targets.cxx`

Areas: 2.1 bridge, 2.4 calib3d

Includes: `opencv2/calib3d/calib3d.hpp`, `opencv2/core/core.hpp`, `opencv2/imgproc.hpp`

Uses: bridge types only

### `plugins/opencv/detect_calibration_targets.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/detect_in_subregions_process.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: bridge types only

### `plugins/opencv/diff_of_gauss_detector.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc.hpp`

Uses: `cv::BORDER_CONSTANT`, `cv::DECOMP_SVD`, `cv::GaussianBlur`, `cv::INTER_CUBIC`, `cv::INTER_NEAREST`, `cv::copyMakeBorder`, `cv::invert`, `cv::resize`, `cv::subtract`

### `plugins/opencv/diff_of_gauss_detector.h`

Areas: 2.1 bridge

Includes: `opencv2/core.hpp`

Uses: bridge types only

### `plugins/opencv/ellipse_proposal.h`

Areas: 2.1 bridge

Includes: `opencv2/core.hpp`, `opencv2/imgproc.hpp`

Uses: bridge types only

### `plugins/opencv/enhance_images.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc/imgproc.hpp`, `opencv2/photo/photo.hpp`

Uses: `cv::CLAHE`, `cv::COLOR_BGR2HSV`, `cv::COLOR_BGR2Lab`, `cv::COLOR_HSV2BGR`, `cv::COLOR_Lab2BGR`, `cv::GaussianBlur`, `cv::NORM_MINMAX`, `cv::addWeighted`, `cv::createCLAHE`, `cv::cvtColor`, `cv::fastNlMeansDenoisingColored`, `cv::medianBlur`, `cv::merge`, `cv::minMaxLoc`, `cv::normalize`, `cv::split`

### `plugins/opencv/filter_stereo_feature_tracks.h`

Areas: 2.1 bridge

Includes: `opencv2/core.hpp`

Uses: bridge types only

### `plugins/opencv/gabor_features.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc.hpp`

Uses: `cv::blur`, `cv::filter2D`

### `plugins/opencv/gabor_features.h`

Areas: 2.1 bridge

Includes: `opencv2/core.hpp`

Uses: bridge types only

### `plugins/opencv/hog_features.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc.hpp`

Uses: `cv::Sobel`, `cv::integral`, `cv::normalize`

### `plugins/opencv/hog_features.h`

Areas: 2.1 bridge

Includes: `opencv2/core.hpp`

Uses: `cv::NORM_L2`

### `plugins/opencv/iqr_session_adaboost.h`

Areas: 2.1 bridge, 2.6 ml/features/seg

Includes: `opencv2/ml.hpp`

Uses: `cv::ml`

### `plugins/opencv/kmedians.h`

Areas: 2.1 bridge

Includes: `opencv2/core.hpp`

Uses: `cv::TermCriteria`

### `plugins/opencv/measure_objects_process.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: bridge types only

### `plugins/opencv/optimize_stereo_cameras.cxx`

Areas: 2.1 bridge, 2.2 codecs, 2.4 calib3d, 2.5 FileStorage

Includes: `opencv2/calib3d/calib3d.hpp`, `opencv2/core/persistence.hpp`, `opencv2/imgcodecs.hpp`, `opencv2/imgproc.hpp`

Uses: `cv::CALIB_FIX_ASPECT_RATIO`, `cv::CALIB_FIX_INTRINSIC`, `cv::CALIB_FIX_K1`, `cv::CALIB_FIX_K2`, `cv::CALIB_FIX_K3`, `cv::CALIB_FIX_PRINCIPAL_POINT`, `cv::CALIB_ZERO_DISPARITY`, `cv::CALIB_ZERO_TANGENT_DIST`, `cv::FileStorage`, `cv::Rodrigues`, `cv::calibrateCamera`, `cv::computeCorrespondEpilines`, `cv::initCameraMatrix2D`, `cv::initUndistortRectifyMap`, `cv::stereoCalibrate`, `cv::stereoRectify`, `cv::undistortPoints`

### `plugins/opencv/optimize_stereo_cameras.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/pair_stereo_detections.cxx`

Areas: 2.1 bridge, 2.2 codecs, 2.3 imgproc, 2.4 calib3d

Includes: `opencv2/calib3d/calib3d.hpp`, `opencv2/imgcodecs.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::CV_32F`, `cv::Rodrigues`, `cv::projectPoints`, `cv::reprojectImageTo3D`, `cv::split`, `cv::undistortPoints`

### `plugins/opencv/pair_stereo_detections.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/pair_stereo_tracks_process.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/plot_metrics.cxx`

Areas: 2.1 bridge, 2.2 codecs, drawing

Includes: `opencv2/imgcodecs.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::FILLED`, `cv::FONT_HERSHEY_SIMPLEX`, `cv::LINE_AA`, `cv::ROTATE_90_COUNTERCLOCKWISE`, `cv::circle`, `cv::getTextSize`, `cv::imwrite`, `cv::line`, `cv::putText`, `cv::rectangle`, `cv::rotate`

### `plugins/opencv/plot_metrics.h`

Areas: 2.1 bridge, 2.2 codecs

Includes: `opencv2/core/core.hpp`

Uses: `cv::imwrite`

### `plugins/opencv/random_hue_shift.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc/imgproc.hpp`, `opencv2/photo/photo.hpp`

Uses: `cv::COLOR_BGR2HSV`, `cv::COLOR_HSV2BGR`, `cv::cvtColor`

### `plugins/opencv/refine_detections_grabcut.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::GC_BGD`, `cv::GC_FGD`, `cv::GC_INIT_WITH_MASK`, `cv::GC_PR_BGD`, `cv::GC_PR_FGD`, `cv::LUT`, `cv::grabCut`

### `plugins/opencv/refine_detections_util.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/refine_detections_watershed.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/highgui/highgui.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::max`, `cv::watershed`

### `plugins/opencv/split_image_habcam.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: bridge types only

### `plugins/opencv/split_image_horizontally.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: bridge types only

### `plugins/opencv/warp_image_ocv.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::INTER_NEAREST`, `cv::merge`, `cv::warpPerspective`

### `plugins/opencv/windowed_detector.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: bridge types only

### `plugins/opencv/windowed_refiner.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: bridge types only

### `plugins/opencv/windowed_trainer.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: bridge types only

### `plugins/opencv/windowed_utils.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc/imgproc.hpp`

Uses: `cv::resize`

### `plugins/opencv/windowed_utils.h`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`

Uses: `cv::resize`

### `plugins/seagis/seagis_measurement_process.cxx`

Areas: 2.1 bridge

Includes: `opencv2/imgproc/imgproc.hpp`

Uses: bridge types only

