# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs
# Written on: Mon May 21 07:21:53 2018   by: write_detected_object_set_viame_csv
227,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,446,414,483,439,0.00130481,0,fish,0.00130481
228,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,475,411,518,440,0.00213627,0,fish,0.00213627
229,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,488,471,508,513,0.00105813,0,scallop,0.00105813
230,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,0,0,175,44,0.112068,0,fish,0.112068
231,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,323,1,538,38,0.0313672,0,fish,0.0313672
232,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,75,22,275,74,0.00187562,0,fish,0.00187562
233,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,349,10,514,71,0.00215515,0,fish,0.00215515
234,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,211,126,411,168,0.650186,0,fish,0.650186
235,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,226,141,432,194,0.0107723,0,fish,0.0107723
236,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,273,187,450,249,0.710097,0,fish,0.710097
237,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,0,0,187,199,0.00231649,0,fish,0.00231649
238,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,313,0,543,189,0.00135828,0,fish,0.00135828
239,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,8,0,278,247,0.00449045,0,fish,0.00449045
240,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,205,39,404,252,0.0053641,0,fish,0.0053641
241,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,296,81,432,332,0.00854404,0,fish,0.00854404
242,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,9,0,342,48,0.00318384,0,fish,0.00318384
243,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,0,11,303,82,0.053701,0,fish,0.053701
244,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,196,9,543,73,0.00226225,0,fish,0.00226225
245,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,0,47,449,169,0.0122677,0,fish,0.0122677
246,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,30,113,515,166,0.00260538,0,fish,0.00260538
247,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,0,105,459,228,0.00196659,0,fish,0.00196659
248,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,84,153,528,246,0.00583643,0,fish,0.00583643
249,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,161,216,512,304,0.00116481,0,fish,0.00116481
250,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,0,272,443,386,0.00229959,0,fish,0.00229959
251,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,171,0,543,234,0.00135985,0,fish,0.00135985
252,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,0,0,438,291,0.035669,0,fish,0.035669
253,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,173,86,543,319,0.00268601,0,fish,0.00268601
254,03171_D20160630-T162929.936_00-0C-DF-06-40-BF.png,2,0,50,429,543,0.00618385,0,fish,0.00618385
